Eje,Revista,Autor,Anio,Titulo,DOI,Citas,Decision,Motivo
bajo-codigo,Journal of Management Information Systems,Elshan et al.,2023,Leveraging Low Code Development of Smart Personal Assistants: An Integrated Design Approach with the SPADE Method,10.1080/07421222.2023.2172776,30,incluir,"desarrollo low-code de asistentes personales inteligentes (SPAs), analogo directo a construir un bot con herramientas low-code"
bajo-codigo,Behaviour and Information Technology,Hu,2023,Exploring the impact of a ‘confining’ imaginary of user-recommendation systems on platform usage and relationship development among dating app users,10.1080/0144929x.2023.2201353,19,descartar,fuera-de-dominio
bajo-codigo,Journal of Business Research,Zhu et al.,2023,How heuristic cues impact crowdfunding performance: The moderating role of platform competition intensity and platform demand potential,10.1016/j.jbusres.2023.113797,19,descartar,fuera-de-dominio
bajo-codigo,Empirical Software Engineering,Chouchen et al.,2023,Learning to Predict Code Review Completion Time In Modern Code Review,10.1007/s10664-023-10300-3,16,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on Computer-Human Interaction,Brocker et al.,2023,"Flowboard: How Seamless, Live, Flow-Based Programming Impacts Learning to Code for Embedded Electronics",10.1145/3533015,14,incluir,"programacion visual basada en flujos (flow-based), el mismo paradigma de n8n, aplicado a aprendizaje"
bajo-codigo,ACM Transactions on Software Engineering and Methodology,Bertolotti et al.,2023,Fold2Vec: Towards a Statement-Based Representation of Code for Code Comprehension,10.1145/3514232,12,descartar,fuera-de-dominio
bajo-codigo,International Journal of Human-Computer Studies,Georgiou et al.,2023,"Future forums: A methodology for exploring, gamifying, and raising security awareness of code-citizens",10.1016/j.ijhcs.2022.102930,8,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on Information Systems,Li et al.,2023,Conditional Cross-Platform User Engagement Prediction,10.1145/3589226,6,descartar,fuera-de-dominio
bajo-codigo,IEEE Transactions on Software Engineering,Imtiaz et al.,2023,Are Your Dependencies Code Reviewed?: Measuring Code Review Coverage in Dependency Updates,10.1109/tse.2023.3319509,4,descartar,fuera-de-dominio
bajo-codigo,ACM Computing Surveys,Mehrpour et al.,2023,A Survey of Tool Support for Working with Design Decisions in Code,10.1145/3607868,4,descartar,fuera-de-dominio
bajo-codigo,Internet Research,Au et al.,2023,Fighting fire with fire: the use of an auxiliary platform to address the inherent weaknesses of a platform-based business,10.1108/intr-10-2021-0746,3,descartar,fuera-de-dominio
compliance,International Journal of Human-Computer Studies,Morra et al.,2027,"“Triggering autonomy, not just automation”: Design implications for LLM-based home automation assistants for people with intellectual disability",10.1016/j.ijhcs.2026.103938,0,descartar,sin-relacion-con-hueco
compliance,ACM Transactions on Software Engineering and Methodology,Das et al.,2026,A Multi-Agent RAG Framework for Regulatory Compliance Checking of Software Requirements,10.1145/3785472,6,incluir,sistema multi-agente LLM+RAG para verificacion de cumplimiento normativo de requisitos: analogo directo al enfoque de Postly
compliance,Information and Software Technology,Barrientos et al.,2026,Impact analysis of regulatory requirement changes on business process compliance,10.1016/j.infsof.2026.108079,3,incluir,enfoque hibrido LLM+reglas para seguimiento de cumplimiento ante cambios normativos
compliance,Journal of Management Information Systems,Peng et al.,2026,Digital Innovation as an Outcome and a Process: The Juxtaposed Effects on Firm Performance,10.1080/07421222.2025.2602399,2,descartar,fuera-de-dominio
compliance,Information and Software Technology,Vilela et al.,2026,Understanding regulatory compliance with LGPD: Empirical evidence from Brazilian organizations,10.1016/j.infsof.2026.108090,1,descartar,"sin-relacion-con-hueco: estudio organizacional/cultural de adopcion de LGPD (encuesta n=152), no un sistema tecnico de verificacion"
compliance,Decision Support Systems,Liu et al.,2026,From compliance to commitment: A deep learning decision-support artifact linking corporate social performance to multidimensional employee perceptions,10.1016/j.dss.2026.114683,1,descartar,sin-relacion-con-hueco
compliance,ACM Transactions on Information Systems,Wang et al.,2026,RuleAgent: Discovering Rules for Recommendation Denoising with Autonomous Language Agents,10.1145/3841469,1,descartar,"fuera-de-dominio: reglas para des-ruido de recomendaciones, no cumplimiento normativo"
compliance,Information and Software Technology,Robol et al.,2026,Consent under control with ProPrivacy: Business process compliance verification for GDPR-consent requirements,10.1016/j.infsof.2026.108168,0,incluir,"verificacion de cumplimiento de procesos de negocio para consentimiento GDPR, con las mismas tensiones tecnico-organizacionales que enfrenta Postly"
compliance,Information and Software Technology,Colombo Tosatto et al.,2026,A first and fast symbolic approach for data-aware business process compliance checking,10.1016/j.infsof.2026.108047,0,incluir,"enfoque simbolico de verificacion de cumplimiento en tiempo de diseno, contraste no-LLM al enfoque de Postly"
compliance,ACM Transactions on Software Engineering and Methodology,Zhao et al.,2026,Compiling by Proving in  \({\mathbb{K}}\) : From All-Path Reachability Proofs to Single-Step Semantic Rules,10.1145/3828756,0,descartar,fuera-de-dominio
compliance,Journal of Systems and Software,Cristina Ratiu et al.,2026,Automated runtime temporal constraint checking for engineering process compliance,10.1016/j.jss.2026.112868,0,incluir,"verificacion de cumplimiento en TIEMPO DE EJECUCION (runtime), el mismo momento en que actua el Centinela de Postly"
compliance,European Journal of Information Systems,de Reuver et al.,2026,Platform governance in the face of negative network externalities: a moral and regulatory legitimacy perspective,10.1080/0960085x.2026.2697811,0,descartar,sin-relacion-con-hueco
compliance,European Journal of Information Systems,Currie et al.,2026,Automation anxiety in information systems research: a meta‑narrative review,10.1080/0960085x.2026.2708104,0,descartar,sin-relacion-con-hueco
compliance,Journal of Marketing Research,Shi et al.,2026,The Economic Consequences of Risk Absorption in Business-to-Business Relationships: Evidence from Indirect Auto Lending,10.1177/00222437261418004,0,descartar,fuera-de-dominio
compliance,Internet Research,Zhang,2026,Digital transformation of business process in pre-digital organizations: a longitudinal canonical action research (CAR) study,10.1108/intr-01-2025-0057,0,descartar,sin-relacion-con-hueco
compliance,Journal of Business Research,Lianghua et al.,2026,Measuring corporate political identity and its impact on tax compliance behaviour: evidence from China,10.1016/j.jbusres.2026.116426,0,descartar,sin-relacion-con-hueco
compliance,ACM Transactions on Software Engineering and Methodology,Molina et al.,2025,Test Oracle Automation in the Era of LLMs,10.1145/3715107,32,descartar,sin-relacion-con-hueco
compliance,Journal of Management Information Systems,Krüger et al.,2025,Value Drivers for Metaverse Business Models: A Complementor Perspective,10.1080/07421222.2025.2452679,21,descartar,fuera-de-dominio
compliance,Empirical Software Engineering,Sovrano et al.,2025,Simplifying software compliance: AI technologies in drafting technical documentation for the AI Act,10.1007/s10664-025-10645-x,16,incluir,"IA generativa (ChatGPT) usada para simplificar el cumplimiento de una norma (AI Act), enfoque directamente analogo"
compliance,Journal of the Academy of Marketing Science,Gehring et al.,2025,Customer success: An interorganizational performance concept in business markets,10.1007/s11747-025-01121-5,6,descartar,fuera-de-dominio
compliance,Information Systems Journal,Kindermann et al.,2025,"<scp>FinTechs</scp>
                    Playing in the Regulatory Sandbox—The Effect of Interacting Signals on Funding",10.1111/isj.70004,4,descartar,sin-relacion-con-hueco
compliance,Decision Support Systems,Wu et al.,2025,Integrating temporal association rules into intelligent prediction system for metabolic dysfunction-associated fatty liver disease,10.1016/j.dss.2025.114467,4,descartar,fuera-de-dominio
compliance,ACM Transactions on Computer-Human Interaction,Guo et al.,2025,Unraveling Strangers’ Interaction: An Analytical Framework for Understanding the Ice-Breaking Process with a Socio-Spatial Interface,10.1145/3742857,3,descartar,fuera-de-dominio
compliance,ACM Transactions on Information Systems,Zhang et al.,2025,Adapting Constrained Markov Decision Process for OCPC Bidding with Delayed Conversions,10.1145/3706420,3,descartar,fuera-de-dominio
compliance,International Journal of Human-Computer Studies,Dong et al.,2025,"Happiness improves perceptions and game performance in an escape room, whereas anger motivates compliance with instructions from a robot agent",10.1016/j.ijhcs.2025.103547,2,descartar,sin-relacion-con-hueco
compliance,Information Systems Journal,Zaggl et al.,2025,Certification of Open Source Software Compliance: Insights From a Conjoint Experiment,10.1111/isj.70014,1,descartar,"sin-relacion-con-hueco: certificacion de licencias de software libre y su adopcion, no verificacion tecnica de cumplimiento normativo"
compliance,European Journal of Information Systems,Bunduchi et al.,2025,The progressive transformation of work with robotic process automation technology,10.1080/0960085x.2025.2576231,1,descartar,sin-relacion-con-hueco
compliance,International Journal of Human-Computer Studies,Andrao et al.,2025,Making trigger-action rules more comprehensible: Investigating which linguistic clues effectively guide non-programmers,10.1016/j.ijhcs.2025.103613,1,descartar,sin-relacion-con-hueco
compliance,Behaviour and Information Technology,Lee et al.,2025,An investigation into network theory and how the SDP logic model facilitates compliance and the safe handling of information,10.1080/0144929x.2025.2507689,1,descartar,sin-relacion-con-hueco
compliance,Behaviour and Information Technology,Ekpezu et al.,2025,Designing to promote compliance: the role of prompt types in a persuasive virtual reality environment,10.1080/0144929x.2025.2580537,1,descartar,sin-relacion-con-hueco
compliance,Journal of Systems and Software,Ahn et al.,2025,Reconstruction of an execution architecture view by identifying mapping rules for connectors,10.1016/j.jss.2024.112268,0,descartar,fuera-de-dominio
compliance,Information Systems Journal,Schuetz et al.,2025,Heeding the Messenger: The Influence of Sender Characteristics on Security Message Compliance Intentions,10.1111/isj.70013,0,descartar,sin-relacion-con-hueco
compliance,Journal of Business Research,Bi et al.,2025,The effect of stress on compliance with health-related advertising,10.1016/j.jbusres.2025.115328,0,descartar,fuera-de-dominio
compliance,ACM Transactions on Information Systems,Yao et al.,2025,Neural Recommendation Reasoning with Logic Rules,10.1145/3742856,0,descartar,sin-relacion-con-hueco
compliance,ACM Computing Surveys,Heuillet et al.,2024,Efficient Automation of Neural Network Design: A Survey on Differentiable Neural Architecture Search,10.1145/3665138,34,descartar,fuera-de-dominio
compliance,Computers in Human Behavior,Chen et al.,2024,"Adolescents' mental health, problematic internet use, and their parents' rules on internet use: A latent profile analysis",10.1016/j.chb.2024.108232,20,descartar,fuera-de-dominio
compliance,ACM Computing Surveys,Angelogianni et al.,2024,"How many FIDO protocols are needed? Analysing the technology, security and compliance",10.1145/3654661,17,descartar,"fuera-de-dominio: 'compliance' ahi es conformidad tecnica con un protocolo de autenticacion (FIDO), no cumplimiento normativo"
compliance,Internet Research,Zhou et al.,2024,Effect of the fit between situational regulatory focus and feedback focus on customers' co-design behavior,10.1108/intr-11-2022-0861,16,descartar,fuera-de-dominio
compliance,ACM Transactions on Information Systems,Tang et al.,2024,Listwise Generative Retrieval Models via a Sequential Learning Process,10.1145/3653712,15,descartar,fuera-de-dominio
compliance,Journal of Systems and Software,Ayala-Rivera et al.,2024,GDPR compliance via software evolution: Weaving security controls in software design,10.1016/j.jss.2024.112144,14,incluir,"SoCo: enfoque semi-automatizado de cumplimiento de GDPR integrado al diseno de software, compliance-by-design directo"
compliance,ACM Transactions on Software Engineering and Methodology,Rehse et al.,2024,On Process Discovery Experimentation: Addressing the Need for Research Methodology in Process Discovery,10.1145/3672447,11,descartar,sin-relacion-con-hueco
compliance,ACM Transactions on Computer-Human Interaction,Ez-Zaouia et al.,2024,The Group Folding Effect: The Role of Collaborative Process Structuring and Social Interaction in Group Work,10.1145/3622783,9,descartar,fuera-de-dominio
compliance,Journal of the Academy of Marketing Science,Behrens et al.,2024,There is business like show business! What marketing scholars and managers can learn from 40 years of entertainment science research,10.1007/s11747-024-01057-2,9,descartar,fuera-de-dominio
compliance,European Journal of Information Systems,Nastjuk et al.,2024,A field experiment on ISP training designs for enhancing employee information security compliance,10.1080/0960085x.2024.2359460,8,descartar,sin-relacion-con-hueco
compliance,Journal of Marketing Research,Chen et al.,2024,The Value of Safety Training for Business-to-Business Firms,10.1177/00222437231222857,7,descartar,fuera-de-dominio
compliance,Empirical Software Engineering,Chen et al.,2024,VioDroid-Finder: automated evaluation of compliance and consistency for Android apps,10.1007/s10664-024-10470-8,6,incluir,"verificacion automatizada de que el comportamiento de una app sea consistente con su politica declarada, analogo directo al Centinela"
compliance,Internet Research,Ganye et al.,2024,Examining the effects of cognitive load on information systems security policy compliance,10.1108/intr-04-2023-0329,6,descartar,sin-relacion-con-hueco
compliance,ACM Transactions on Computer-Human Interaction,Berkel et al.,2024,Collaborating with Bots and Automation on OpenStreetMap,10.1145/3665326,5,descartar,fuera-de-dominio
compliance,Decision Support Systems,Agarwal et al.,2024,Shutdown and compliance decisions in the face of a viral pandemic: A game between governments and citizens,10.1016/j.dss.2023.114128,4,descartar,fuera-de-dominio
compliance,Empirical Software Engineering,Saeedi Nikoo et al.,2024,An empirical study of business process models and model clones on GitHub,10.1007/s10664-024-10584-z,3,descartar,sin-relacion-con-hueco
compliance,Behaviour and Information Technology,Ekpezu et al.,2024,Persuasive software features as antecedents to perceived compliance within physical activity behavior change support systems,10.1080/0144929x.2024.2421448,3,descartar,fuera-de-dominio
compliance,IEEE Transactions on Software Engineering,Barzolevskaia et al.,2024,Measuring and Characterizing (Mis)compliance of the Android Permission System,10.1109/tse.2024.3362921,2,descartar,"sin-relacion-con-hueco: mide fallas del sistema de permisos de Android, no es un enfoque de compliance-by-design"
compliance,Information Systems Journal,Böttcher et al.,2023,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,10.1111/isj.12436,127,descartar,fuera-de-dominio
compliance,Computers in Human Behavior,Westphal et al.,2023,Decision control and explanations in human-AI collaboration: Improving user perceptions and compliance,10.1016/j.chb.2023.107714,120,descartar,"fuera-de-dominio: 'compliance' ahi es que el usuario siga la recomendacion del sistema, no cumplimiento normativo"
compliance,Journal of the Academy of Marketing Science,Homburg et al.,2023,Customer journey management capability in business-to-business markets: Its bright and dark sides and overall impact on firm performance,10.1007/s11747-023-00923-9,61,descartar,fuera-de-dominio
compliance,International Journal of Human-Computer Studies,Vollenwyder et al.,2023,How compliance with web accessibility standards shapes the experiences of users with and without disabilities,10.1016/j.ijhcs.2022.102956,59,descartar,"sin-relacion-con-hueco: cumplimiento de estandares de accesibilidad web y su efecto en UX, no un sistema de verificacion normativa"
compliance,ACM Computing Surveys,Bringhenti et al.,2023,Automation for Network Security Configuration: State of the Art and Research Trends,10.1145/3616401,57,descartar,sin-relacion-con-hueco
compliance,Decision Support Systems,van Dun et al.,2023,ProcessGAN: Supporting the creation of business process improvement ideas through generative machine learning,10.1016/j.dss.2022.113880,55,descartar,sin-relacion-con-hueco
compliance,ACM Transactions on Computer-Human Interaction,Fraile Navarro et al.,2023,"Collaboration, not Confrontation: Understanding General Practitioners’ Attitudes Towards Natural Language and Text Automation in Clinical Practice",10.1145/3569893,26,descartar,fuera-de-dominio
compliance,Journal of Marketing Research,Wang et al.,2023,The Early Impact of GDPR Compliance on Display Advertising: The Case of an Ad Publisher,10.1177/00222437231171848,26,descartar,"sin-relacion-con-hueco: impacto economico del cumplimiento de GDPR en publicidad, no un enfoque tecnico de compliance-by-design"
compliance,Journal of Business Research,Ehret et al.,2023,Banking the unbanked. Constitutive rules and the institutionalization of mobile payment systems in Nigeria,10.1016/j.jbusres.2023.113845,26,descartar,fuera-de-dominio
compliance,Computers in Human Behavior,Chang et al.,2023,Conservatives endorse Fintech? Individual regulatory focus attenuates the algorithm aversion effects in automated wealth management,10.1016/j.chb.2023.107872,23,descartar,fuera-de-dominio
compliance,Empirical Software Engineering,Bogner et al.,2023,Do RESTful API design rules have an impact on the understandability of Web APIs?,10.1007/s10664-023-10367-y,19,descartar,fuera-de-dominio
compliance,Journal of the Academy of Marketing Science,Lanzrath et al.,2023,"Women’s underrepresentation in business-to-business sales: Reasons, contingencies, and solutions",10.1007/s11747-023-00988-6,18,descartar,fuera-de-dominio
compliance,IEEE Transactions on Software Engineering,van Beest et al.,2023,Cross-Instance Regulatory Compliance Checking of Business Process Event Logs,10.1109/tse.2023.3319086,11,incluir,"verificacion de cumplimiento normativo cruzando instancias de un proceso de negocio, metodo tecnico directamente relevante"
compliance,Computers in Human Behavior,Schurr et al.,2023,The presence of automation enhances deontological considerations in moral judgments,10.1016/j.chb.2022.107590,11,descartar,fuera-de-dominio
compliance,IEEE Transactions on Software Engineering,Kommrusch et al.,2023,Self-Supervised Learning to Prove Equivalence Between Straight-Line Programs via Rewrite Rules,10.1109/tse.2023.3271065,10,descartar,fuera-de-dominio
compliance,Journal of Systems and Software,Horcas et al.,2023,A modular metamodel and refactoring rules to achieve software product line interoperability,10.1016/j.jss.2022.111579,10,descartar,fuera-de-dominio
compliance,Journal of Management Information Systems,Xu et al.,2023,Deep Learning-Based Imputation Method to Enhance Crowdsourced Data on Online Business Directory Platforms for Improved Services,10.1080/07421222.2023.2196770,9,descartar,fuera-de-dominio
compliance,Journal of Marketing Research,Kumar et al.,2023,Impact of Buying Groups on Buyer–Supplier Relationships: Group–Dyad Interactions in Business-to-Business Markets,10.1177/00222437231152207,8,descartar,fuera-de-dominio
compliance,Journal of Business Research,Ifie et al.,2023,Enforcement of service rules by frontline employees: A conceptual model and research propositions,10.1016/j.jbusres.2022.113339,7,descartar,sin-relacion-con-hueco
compliance,Behaviour and Information Technology,Wallius et al.,2023,From forceful compliance to motivated endorsement: effects of gamification on policy compliance during COVID-19,10.1080/0144929x.2023.2286344,6,descartar,fuera-de-dominio
compliance,Internet Research,Mucha et al.,2023,Riding a bicycle while building its wheels: the process of machine learning-based capability development and IT-business alignment practices,10.1108/intr-10-2022-0769,4,descartar,fuera-de-dominio
compliance,IEEE Transactions on Software Engineering,Notland et al.,2023,Runtime Evolution of Bitcoin's Consensus Rules,10.1109/tse.2023.3304851,2,descartar,fuera-de-dominio
compliance,Journal of Management Information Systems,Kauffman et al.,2023,Special Section: Digital Strategies for Business Readiness,10.1080/07421222.2023.2229121,2,descartar,fuera-de-dominio
ia-generativa-marketing,Journal of Systems and Software,Cândido et al.,2027,Developers’ perceptions of automated code review using a generative AI agent: The case of Gandalf,10.1016/j.jss.2026.113069,0,descartar,fuera-de-dominio
ia-generativa-marketing,Journal of Systems and Software,Esposito et al.,2026,"Generative AI for software architecture. Applications, challenges, and future directions",10.1016/j.jss.2025.112607,31,descartar,fuera-de-dominio
ia-generativa-marketing,Computers in Human Behavior,Li et al.,2026,"Creative personal identity in the age of generative AI: A social-cognitive pathway of AI literacy, self-efficacy, and mindset",10.1016/j.chb.2025.108838,20,descartar,"sin-relacion-con-hueco: contexto educativo/identidad personal de estudiantes, no generacion de contenido de marketing"
ia-generativa-marketing,European Journal of Information Systems,Herath et al.,2026,Design principles for text-to-image generative artificial intelligence creativity support tools for visual design,10.1080/0960085x.2026.2616042,15,incluir,"principios de diseno para herramientas de creatividad con IA texto-a-imagen, nucleo del caso de uso de Postly"
ia-generativa-marketing,Journal of Systems and Software,Moreschini et al.,2026,The Evolution of Technical Debt from DevOps to Generative AI: A multivocal literature review,10.1016/j.jss.2025.112599,14,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Transactions on Software Engineering and Methodology,Song et al.,2026,Generative AI for Testing of Autonomous Driving Systems: A Survey,10.1145/3806653,6,descartar,fuera-de-dominio
ia-generativa-marketing,International Journal of Human-Computer Studies,Kovbasiuk et al.,2026,Is AI a good fit? The impact of personality on generative AI collaboration and enjoyment,10.1016/j.ijhcs.2026.103747,5,descartar,"sin-relacion-con-hueco: rasgos de personalidad y colaboracion general con IA en tareas de negocio, no marketing"
ia-generativa-marketing,Computers in Human Behavior,Sagynbayeva et al.,2026,Evaluating user performance with RAG-based generative AI: A scenario-based experiment on AI-assisted information retrieval,10.1016/j.chb.2026.108952,5,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Information Systems Journal,Holmström et al.,2026,"Scholarly Integrity and Generative
                    <scp>AI</scp>
                    : Five Boundary Violations for
                    <scp>IS</scp>
                    Scholarship",10.1111/isj.70044,4,descartar,fuera-de-dominio
ia-generativa-marketing,Journal of Systems and Software,Firouzi et al.,2026,Can generative AI detect and fix real-world cryptographic misuses?,10.1016/j.jss.2025.112650,3,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Transactions on Computer-Human Interaction,Kot et al.,2026,Exploring the Role of Generative AI in Dementia Resilience Building Activities: Uncovering Opportunities and Challenges,10.1145/3773029,3,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Computing Surveys,Molinari et al.,2026,Towards Pervasive Distributed Agentic Generative AI–A State of The Art,10.1145/3821566,3,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Information Systems Journal,Sharma et al.,2026,"Generative
                    <scp>AI</scp>
                    Implementation in Enterprises: Lessons From a Case Study of Enhanced
                    <scp>IT</scp>
                    Service Management",10.1111/isj.70029,2,descartar,fuera-de-dominio
ia-generativa-marketing,European Journal of Information Systems,Ngwenyama et al.,2026,"Platform capture of scientific knowledge production: publishers’ dominance, generative AI and Subsumption of academic labor",10.1080/0960085x.2026.2642660,2,descartar,fuera-de-dominio
ia-generativa-marketing,International Journal of Human-Computer Studies,Salminen et al.,2026,AI-generated personas: Representing user needs with generative AI models,10.1016/j.ijhcs.2026.103745,2,descartar,"sin-relacion-con-hueco: personas sinteticas para investigacion de UX, no generacion de contenido de marketing; ademas es un editorial"
ia-generativa-marketing,Internet Research,Agarwal et al.,2026,Toward a better digital society: a meta-synthesis on generative AI’s role in disinformation creation and mitigation,10.1108/intr-01-2025-0050,2,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Information and Software Technology,Dahri et al.,2026,Generative AI in teaching: How AI literacy and AI-generated lesson design shape teachers’ classroom implementation strategies,10.1016/j.infsof.2026.108287,1,descartar,fuera-de-dominio
ia-generativa-marketing,European Journal of Information Systems,Vainionpää et al.,2026,Anticipation practices of public sector organizations in liminal AI design spaces – the case of the EU AI Act,10.1080/0960085x.2026.2651227,1,descartar,fuera-de-dominio
ia-generativa-marketing,Decision Support Systems,Henkenjohann et al.,2026,The responsible worker in the age of generative AI: How human-AI co-creation shapes experienced responsibility for work outcomes,10.1016/j.dss.2026.114699,1,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Journal of Marketing Research,Zou et al.,2026,Welfare Implications of Democratization in Content Creation: Generative AI and Beyond,10.1177/00222437261423540,1,incluir,"modelo de teoria de juegos sobre el bienestar de la democratizacion de la creacion de contenido via IA, exactamente el fenomeno de Postly"
ia-generativa-marketing,ACM Transactions on the Web,Tron et al.,2026,A Dream Come True: Deletable Content in Immutable Storage,10.1145/3805028,1,descartar,fuera-de-dominio
ia-generativa-marketing,Empirical Software Engineering,Esnaola et al.,2026,Can generative AI bridge the gap? A quasi-experimental study of non-programmers with AI vs. programmers without AI,10.1007/s10664-026-10813-7,0,descartar,fuera-de-dominio
ia-generativa-marketing,Empirical Software Engineering,Ardic et al.,2026,How students use generative AI for software testing: An observational study,10.1007/s10664-026-10898-0,0,descartar,fuera-de-dominio
ia-generativa-marketing,Empirical Software Engineering,Tufano et al.,2026,Developers and generative AI: A study of self-admitted usage in open source projects,10.1007/s10664-026-10848-w,0,descartar,fuera-de-dominio
ia-generativa-marketing,IEEE Transactions on Software Engineering,Inoue et al.,2026,An Empirical Investigation on Source Code Comprehension Performance Between Naming and Structural Issues With and Without Generative AI Assistance,10.1109/tse.2026.3702933,0,descartar,fuera-de-dominio
ia-generativa-marketing,IEEE Transactions on Software Engineering,Wei et al.,2026,Sweat the Details: Exercise Breaks and AI Assistance in Code Summarization,10.1109/tse.2026.3716079,0,descartar,fuera-de-dominio
ia-generativa-marketing,IEEE Transactions on Software Engineering,Salib et al.,2026,AI or Ally? Understanding Student Reliance on GitHub Copilot and Human Peers Through Eye Tracking,10.1109/tse.2026.3705249,0,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Transactions on Software Engineering and Methodology,Brandebusemeyer et al.,2026,Developers’ Experience with Generative AI Beyond Productivity Assessment – Insights from an Empirical Mixed-Methods Field Study,10.1145/3847122,0,descartar,fuera-de-dominio
ia-generativa-marketing,International Journal of Human-Computer Studies,Oh et al.,2026,SnapSound: Empowering everyone to customize sound experience with Generative AI,10.1016/j.ijhcs.2025.103673,0,descartar,fuera-de-dominio
ia-generativa-marketing,Behaviour and Information Technology,de Rooij et al.,2026,Does generative AI make us think alike? A systematic review and meta-analysis of homogenisation effects in human–AI co-creation,10.1080/0144929x.2026.2726451,0,incluir,"revision sistematica sobre homogeneizacion en co-creacion humano-IA, riesgo real para un sistema que genera copys a escala"
ia-generativa-marketing,Behaviour and Information Technology,Bowman et al.,2026,What’s wrong with AI art? Implications of generative AI on the value of creative media,10.1080/0144929x.2026.2623943,0,incluir,"evaluacion de valor de medios creativos segun el creador (IA vs. humano), sostiene la logica del Estudio 1 de OE2"
ia-generativa-marketing,Behaviour and Information Technology,Du et al.,2026,Influence of personality traits on employee’ adoption of generative AI: a qualitative comparative analysis,10.1080/0144929x.2026.2734081,0,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Journal of Marketing Research,Ellickson et al.,2026,EXPRESS: Evaluating Novel Unstructured Treatments with Generative AI: A Causal Prediction Framework,10.1177/00222437261476639,0,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Journal of Marketing Research,Mukherjee et al.,2026,"EXPRESS: Behavioral Research Through Interpretable, Dimensionality-reduced Generative AI Embeddings (BRIDGE): A Method to Incorporate Real-World Stimuli in Consumer Experiments",10.1177/00222437261484068,0,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Journal of the Academy of Marketing Science,Haenlein et al.,2026,Introducing the special issue on influencer marketing with extension into synthetic word of mouth: How AI shapes the future of influencer marketing,10.1007/s11747-026-01198-6,0,incluir,"conceptualiza el WOM sintetico via IA en marketing de influencers, directamente relevante al contexto de Postly"
ia-generativa-marketing,Internet Research,Liu et al.,2026,When AI summarizes the community: how generative AI summaries shape users’ intention to engage with original content,10.1108/intr-10-2025-1763,0,descartar,"sin-relacion-con-hueco: resumenes de IA sobre contenido de la comunidad en plataformas, no generacion de contenido propio de marketing"
ia-generativa-marketing,Journal of Business Research,De Bock et al.,2026,"A taxonomy of machine learning, AI, and generative AI in marketing: Recent applications and future directions",10.1016/j.jbusres.2026.116346,0,incluir,"taxonomia de ML/IA/IA generativa en marketing, marco util para situar a Postly en el panorama"
ia-generativa-marketing,ACM Computing Surveys,Ji et al.,2026,A Comprehensive Survey on Generative AI for Video-to-Music Generation,10.1145/3816020,0,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Transactions on Information Systems,Zhao et al.,2026,Unifying Search and Recommendation with Dual-View Representation Learning in a Generative Paradigm,10.1145/3841470,0,descartar,fuera-de-dominio
ia-generativa-marketing,ACM Transactions on the Web,Yang et al.,2026,Generative Regularities in Multi-Layer Networks: A Shared-Latent Space Representation Approach,10.1145/3798056,0,descartar,fuera-de-dominio
ia-generativa-marketing,Journal of Management Information Systems,Wessel et al.,2025,Generative AI and its Transformative Value for Digital Platforms,10.1080/07421222.2025.2487315,114,incluir,ya preidentificado para SS1.3.b
ia-generativa-marketing,Information and Software Technology,Banh et al.,2025,Copiloting the future: How generative AI transforms Software Engineering,10.1016/j.infsof.2025.107751,55,descartar,fuera-de-dominio
ia-generativa-marketing,Journal of Business Research,Rezazadeh et al.,2025,Generative AI for growth hacking: How startups use generative AI in their growth strategies,10.1016/j.jbusres.2025.115320,49,incluir,"growth hacking con IA generativa en startups, analogo directo al microemprendimiento objetivo de Postly"
ia-generativa-marketing,ACM Computing Surveys,Yan et al.,2025,Generative AI for Intelligent Transportation Systems: Road Transportation Perspective,10.1145/3719290,38,descartar,fuera-de-dominio
ia-generativa-marketing,Journal of Management Information Systems,Mayer et al.,2025,Shifting Dynamics: How Generative AI as a Boundary Resource Reshapes Digital Platform Governance,10.1080/07421222.2025.2487312,27,descartar,sin-relacion-con-hueco
ia-generativa-marketing,European Journal of Information Systems,Mikalef et al.,2025,Responsible AI starts with the artifact: Challenging the concept of responsible AI in IS research,10.1080/0960085x.2025.2506875,25,descartar,sin-relacion-con-hueco
ia-generativa-marketing,Journal of Management Information Systems,Heimburg et al.,2025,Complementor Value Co-Creation in Generative AI Platform Ecosystems,10.1080/07421222.2025.2487310,25,descartar,sin-relacion-con-hueco
